"nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature"
"50, 1.900000000E-01, 2.091407375E-02,-3.886150816E-02, 0.000000000E+00, 5.848476937E-01, 3.349748902E+02"
"51, 1.900000000E-01, 1.719496637E-02,-3.878601419E-02, 0.000000000E+00, 7.069846988E-01, 3.332877099E+02"
"52, 1.900000000E-01, 1.890051648E-02,-3.877274262E-02, 0.000000000E+00, 6.949289417E-01, 3.334293120E+02"
"53, 1.900000000E-01, 1.585833626E-02,-3.861714871E-02, 0.000000000E+00, 6.806673038E-01, 3.337141458E+02"
"54, 1.900000000E-01, 1.273702755E-02,-3.847878553E-02, 2.625420968E-01, 0.000000000E+00, 3.482952598E+02"
"55, 1.900000000E-01, 1.788495015E-02,-3.847326960E-02, 0.000000000E+00, 6.994479723E-01, 3.334182163E+02"
"56, 1.900000000E-01, 2.224283427E-02,-3.841711558E-02, 2.599502588E-01, 0.000000000E+00, 3.481664373E+02"
"57, 1.900000000E-01, 1.632245560E-02,-3.830721722E-02, 0.000000000E+00, 6.812387879E-01, 3.337364778E+02"
"58, 1.900000000E-01, 1.970761653E-02,-3.828806707E-02, 0.000000000E+00, 6.547614614E-01, 3.340481483E+02"
"59, 1.900000000E-01, 1.525485375E-02,-3.827844865E-02, 0.000000000E+00, 6.479149755E-01, 3.342385067E+02"
"60, 1.900000000E-01, 1.852787721E-02,-3.825451418E-02, 0.000000000E+00, 6.826351764E-01, 3.336862644E+02"
"61, 1.900000000E-01, 1.691679052E-02,-3.799222937E-02, 0.000000000E+00, 6.781135844E-01, 3.338144179E+02"
"62, 1.900000000E-01, 1.456729655E-02,-3.784383963E-02, 0.000000000E+00, 5.682846556E-01, 3.354675183E+02"
"63, 1.900000000E-01, 2.042136238E-02,-3.781335358E-02, 0.000000000E+00, 5.729239989E-01, 3.352734520E+02"
"64, 1.900000000E-01, 1.757236981E-02,-3.780662413E-02, 0.000000000E+00, 6.734047811E-01, 3.338951882E+02"
"65, 1.900000000E-01, 1.817548786E-02,-3.776533221E-02, 0.000000000E+00, 6.688764504E-01, 3.339539387E+02"
"66, 1.900000000E-01, 1.916067307E-02,-3.762948560E-02, 0.000000000E+00, 6.433703453E-01, 3.343093574E+02"
"67, 1.900000000E-01, 1.586131697E-02,-3.761393021E-02, 0.000000000E+00, 6.390382883E-01, 3.344502680E+02"
"68, 1.900000000E-01, 1.664617101E-02,-3.722079074E-02, 0.000000000E+00, 6.343780932E-01, 3.345701954E+02"
"69, 1.900000000E-01, 1.842508664E-02,-3.716975690E-02, 0.000000000E+00, 6.340400630E-01, 3.345326798E+02"
"70, 1.900000000E-01, 1.344394554E-02,-3.707623150E-02, 2.624470212E-01, 0.000000000E+00, 3.483754513E+02"
"71, 1.900000000E-01, 1.751588542E-02,-3.703725376E-02, 0.000000000E+00, 6.316380044E-01, 3.346172696E+02"
"72, 1.900000000E-01, 2.151787141E-02,-3.702397760E-02, 2.585916992E-01, 0.000000000E+00, 3.482103645E+02"
"73, 1.900000000E-01, 1.536470261E-02,-3.699356765E-02, 0.000000000E+00, 5.563228963E-01, 3.357827851E+02"
"74, 1.900000000E-01, 1.964709486E-02,-3.698127700E-02, 0.000000000E+00, 5.600164783E-01, 3.356071119E+02"
"75, 1.900000000E-01, 1.637911687E-02,-3.645541075E-02, 0.000000000E+00, 5.486369283E-01, 3.359936290E+02"
"76, 1.900000000E-01, 1.864457862E-02,-3.643443606E-02, 0.000000000E+00, 5.494291007E-01, 3.359026375E+02"
"77, 1.900000000E-01, 1.750869834E-02,-3.625596634E-02, 0.000000000E+00, 5.455330372E-01, 3.360481891E+02"
"78, 1.900000000E-01, 1.455099612E-02,-3.596225606E-02, 2.616595782E-01, 0.000000000E+00, 3.484490891E+02"
"79, 1.900000000E-01, 2.039647677E-02,-3.592441141E-02, 2.582720729E-01, 0.000000000E+00, 3.482913476E+02"
"80, 1.900000000E-01, 1.594892025E-02,-3.524666942E-02, 2.611464929E-01, 0.000000000E+00, 3.485132251E+02"
"81, 1.900000000E-01, 1.898918533E-02,-3.522691640E-02, 2.600565851E-01, 0.000000000E+00, 3.484326194E+02"
"82, 1.900000000E-01, 1.750000000E-02,-3.500000000E-02, 2.610818254E-01, 0.000000000E+00, 3.485258964E+02"
